2025-07-21 11:08:27 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-21 11:08:27 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-21 11:08:27 | config > | init_stp | RESULT: OK
2025-07-21 11:08:33 | config/init-cell(24R2, 4G) > | set_du_type du10 | RESULT: OK
2025-07-21 11:08:33 | config/init-cell(24R2, 4G) > | set_ru_type FHCA | RESULT: OK
2025-07-21 11:08:33 | MRBTS(130126) > | tgt_bts 130126 | RESULT: OK
2025-07-21 11:08:42 | MRBTS(130126) > | dnload_bts_cfg | RESULT: OK
2025-07-21 11:08:42 | MRBTS(130126) > | exec_script 25R2_senario_du10_initcell_autocfg_130126.txt | RESULT: OK
2025-07-21 11:08:42 | MRBTS(130126) > | set_cfg_tmpl GONGDONG1.cli | RESULT: OK
2025-07-21 11:08:42 | MRBTS(130126) > | commit | RESULT: NOK
2025-07-21 11:08:50 | MRBTS(130126) > | apply_bts_cfg | RESULT: OK
2025-07-21 11:09:13 | config/init-stp > | dest_bts 130126 | RESULT: OK
2025-07-21 11:09:13 | config/init-stp > | check_ping 130126 | RESULT: OK
2025-07-21 11:09:13 | config > | init_stp | RESULT: OK
2025-07-21 11:42:21 | config-x/auto-comm > | compare_scf MRBTS130126__cellcommit_20250710_181012_translated__f60605.xml MRBTS130126__cellcommit_20250711_133612_translated__edd564.xml | RESULT: NOK
2025-07-21 11:43:11 | config-x/auto-comm > | compare_scf MRBTS130126__cellcommit_20250710_181012_translated__f60605.xml MRBTS130126__cellcommit_20250711_133612_translated__edd564.xml | RESULT: NOK
2025-07-21 11:46:18 | config-x/auto-comm > | compare_scf MRBTS130126__cellcommit_20250710_181012_translated__f60605.xml MRBTS130126__cellcommit_20250711_133612_translated__edd564.xml | RESULT: NOK
2025-07-21 11:47:17 | config-x/auto-comm > | compare_scf MRBTS130126__cellcommit_20250710_181012_translated__f60605.xml MRBTS130126__cellcommit_20250711_133612_translated__edd564.xml | RESULT: NOK
2025-07-21 11:48:55 | config-x/auto-comm > | compare_scf MRBTS130126__cellcommit_20250710_181012_translated__f60605.xml MRBTS130126__cellcommit_20250711_133612_translated__edd564.xml | RESULT: NOK
2025-07-21 11:49:37 | config-x/auto-comm > | compare_scf MRBTS130126__cellcommit_20250710_181012_translated__f60605.xml MRBTS130126__cellcommit_20250711_133612_translated__edd564.xml | RESULT: NOK
2025-07-21 11:50:57 | config-x/auto-comm > | compare_scf MRBTS130126__cellcommit_20250710_181012_translated__f60605.xml MRBTS130126__cellcommit_20250711_133612_translated__edd564.xml | RESULT: NOK
2025-07-21 11:52:09 | config-x/auto-comm > | compare_scf MRBTS130126__cellcommit_20250710_181012_translated__f60605.xml MRBTS130126__cellcommit_20250711_133612_translated__edd564.xml | RESULT: NOK
2025-07-21 11:52:43 | config-x/auto-comm > | compare_scf MRBTS130126__cellcommit_20250710_181012_translated__f60605.xml MRBTS130126__cellcommit_20250711_133612_translated__edd564.xml | RESULT: NOK
2025-07-21 11:53:42 | config-x/auto-comm > | compare_scf MRBTS130126__cellcommit_20250710_181012_translated__f60605.xml MRBTS130126__cellcommit_20250711_133612_translated__edd564.xml | RESULT: NOK
2025-07-21 11:54:29 | config-x/auto-comm > | compare_scf MRBTS130126__cellcommit_20250710_181012_translated__f60605.xml MRBTS130126__cellcommit_20250711_133612_translated__edd564.xml | RESULT: NOK
2025-07-21 12:01:55 | config-x/auto-comm > | compare_scf MRBTS130126__cellcommit_20250710_181012_translated__f60605.xml MRBTS130126__cellcommit_20250711_133612_translated__edd564.xml | RESULT: NOK
2025-07-21 12:02:37 | config-x/auto-comm > | compare_scf MRBTS130126__cellcommit_20250710_181012_translated__f60605.xml MRBTS130126__cellcommit_20250711_133612_translated__edd564.xml | RESULT: NOK
2025-07-21 12:03:22 | config-x/auto-comm > | compare_scf MRBTS130126__cellcommit_20250710_181012_translated__f60605.xml MRBTS130126__cellcommit_20250711_133612_translated__edd564.xml | RESULT: NOK
2025-07-21 13:50:14 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
2025-07-21 13:50:15 | config-x/auto-comm > | gen_script CLI 개통탬플릿_V0.9.0.xlsx | RESULT: NOK
2025-07-21 13:50:15 | config-x/auto-comm > | list_script 20250721 | RESULT: NOK
2025-07-21 13:56:16 | config-x/auto-comm > | list_tmpl 20250721 | RESULT: NOK
